model,memory,cpu,batch,accuracy,latency/loading,latency
0,1024,4,1,18,0.09613988,8.952448341
1,1024,4,1,22,0.11584792299999999,9.220503223
2,4096,4,1,24,0.225226518,11.87176096
3,4096,4,1,28,0.755571612,15.307086
4,6144,4,1,30,2.460773774,22.570218389999997
5,6144,4,1,32,3.360835143,21.292581579999997
0,1024,1,1,18,0.24361316795959473,9.990943499761963
0,1024,1,2,18,0.4998404228271484,9.407041093069457
0,1024,1,4,18,0.9505193912567138,9.86869432564392
0,1024,1,6,18,1.3260026180328368,10.043974944311524
0,1024,1,8,18,1.7211897575439452,10.520444461065674
1,1024,1,1,22,0.4026263439239502,9.978845616537477
1,1024,1,2,22,0.7172983848632812,9.725975915151977
1,1024,1,4,22,1.3455170833648682,10.948465319830323
1,1024,1,6,22,2.2315118991912843,11.641410990911867
1,1024,1,8,22,2.894373723226929,12.779829474645997
2,4096,1,1,24,0.8245974742950439,12.696034880834961
2,4096,1,2,24,1.7766939365447998,12.91481902237549
2,4096,1,4,24,3.0888557636322025,14.242733164984132
2,4096,1,6,24,3.864364882666016,15.028348752218626
2,4096,1,8,24,4.591027852255249,15.972338792044066
3,4096,1,1,28,3.322252961355591,17.880744191366574
3,4096,1,2,28,5.5558288299621585,20.036631079870602
4,6144,1,1,30,8.82533998127594,29.433581598955534
0,1024,2,1,18,0.11608559723510742,8.729991694647216
0,1024,2,2,18,0.21722700234069825,8.781689139562987
0,1024,2,4,18,0.4408076488555908,9.023389311987305
0,1024,2,6,18,0.6123634540618896,9.930243655401613
0,1024,2,8,18,0.8763500415863037,9.552157708364868
1,1024,2,1,22,0.1515512191833496,9.603058406072998
1,1024,2,2,22,0.3304996692718506,9.545696374136352
1,1024,2,4,22,0.7303747379364014,10.372707625585937
1,1024,2,6,22,1.0312844478668213,10.220128365713501
1,1024,2,8,22,1.3895060741485594,10.744083615499878
2,4096,2,1,24,0.42543627854003907,11.467540761190795
2,4096,2,2,24,0.739329501348877,11.801394625860596
2,4096,2,4,24,1.3685446941436767,12.829538890081789
2,4096,2,6,24,1.731467887121582,13.036756297308349
2,4096,2,8,24,2.4308723651947024,13.973073836523438
3,4096,2,1,28,1.5227133953155516,15.69445082779541
3,4096,2,2,28,2.9512845241607666,17.528329011160277
3,4096,2,4,28,5.491607829290771,19.563178225714108
3,4096,2,6,28,7.775796385961915,22.56686884995117
4,6144,2,1,30,5.118127890783692,24.66481430168762
4,6144,2,2,30,8.08952147598877,27.589139231401823
5,6144,2,1,32,6.5424316131652835,24.7089428150238
0,1024,4,1,18,0.096488544,8.775680228
0,1024,4,2,18,0.136120626,9.28974373
0,1024,4,4,18,0.26103827599999996,9.030859586
0,1024,4,6,18,0.32469222200000003,9.171833774
0,1024,4,8,18,0.447627231,9.374592468
1,1024,4,1,22,0.107343885,9.398644038
1,1024,4,2,22,0.138068124,9.490028688
1,1024,4,4,22,0.328991815,9.592480394
1,1024,4,6,22,0.5347245899999999,10.197651500000001
1,1024,4,8,22,0.706267091,9.930792161
2,4096,4,1,24,0.229171249,11.39387524
2,4096,4,2,24,0.438263293,11.51248314
2,4096,4,4,24,0.775989791,11.49217894
2,4096,4,6,24,0.912942954,12.30719611
2,4096,4,8,24,1.354596778,12.40953652
3,4096,4,1,28,0.725664254,15.12862212
3,4096,4,2,28,1.477224084,16.07965839
3,4096,4,4,28,2.8594854560000003,17.469012229999997
3,4096,4,6,28,4.171923324,18.62756283
3,4096,4,8,28,5.5800167290000005,20.624871369999997
4,6144,4,1,30,2.561007091,21.89083702
4,6144,4,2,30,4.149510118,23.194456789999997
4,6144,4,4,30,7.9974400480000005,27.172614399999997
5,6144,4,1,32,3.3775674070000004,21.988691109999998
5,6144,4,2,32,5.7292376240000005,25.25906899
0,1024,6,1,18,0.09618060227050781,9.024727650839232
0,1024,6,2,18,0.10259897347106933,8.652640887457276
0,1024,6,4,18,0.1586430275024414,9.681008788305663
0,1024,6,6,18,0.2220571243347168,8.962094279486083
0,1024,6,8,18,0.331784220892334,9.161609812933351
1,1024,6,1,22,0.1052142345489502,9.435627814489747
1,1024,6,2,22,0.12359635468139649,9.306845971304321
1,1024,6,4,22,0.25293519135131837,9.471595212179565
1,1024,6,6,22,0.36918723221435545,9.69684364433899
1,1024,6,8,22,0.45498697395935056,10.05661084290161
2,4096,6,1,24,0.1248725139678955,11.098522015768433
2,4096,6,2,24,0.2199333393157959,11.34078757401123
2,4096,6,4,24,0.4324557983459473,11.532401629644774
2,4096,6,6,24,0.6311328613342284,11.876889296728514
2,4096,6,8,24,0.9371711456359864,12.296064254003907
3,4096,6,1,28,0.5039617263854981,15.211992236334229
3,4096,6,2,28,0.89938041802063,15.985758563238527
3,4096,6,4,28,1.9767122947753906,16.755742236334225
3,4096,6,6,28,2.8765329563201907,17.181081315237424
3,4096,6,8,28,3.7487261974395754,17.956901761251828
4,6144,6,1,30,1.603024979788208,21.73817512627258
4,6144,6,2,30,2.8037578546585085,22.5303894364418
4,6144,6,4,30,5.553777524191284,25.809351512152098
4,6144,6,6,30,8.629552193838501,28.13151008721008
5,6144,6,1,32,2.063503047186279,19.80833189125671
5,6144,6,2,32,3.8079981529296876,22.3264045917572
5,6144,6,4,32,7.774335738378906,26.29975401993408
0,1024,8,1,18,0.0969269,8.937503358
0,1024,8,2,18,0.1034157001556396,8.706173869
0,1024,8,4,18,0.161677715,9.156139251
0,1024,8,6,18,0.17024310799999998,9.145865842000001
0,1024,8,8,18,0.25906264420166003,8.953430721
1,1024,8,1,22,0.106221648,9.601096269000001
1,1024,8,2,22,0.116776439,9.335301276000001
1,1024,8,4,22,0.25240895399999996,9.566777488
1,1024,8,6,22,0.26769249100000003,9.594707223
1,1024,8,8,22,0.345825025,9.741985484
2,4096,8,1,24,0.127969047,11.26155002
2,4096,8,2,24,0.20058099899999998,11.27689507
2,4096,8,4,24,0.369039413,11.65899746
2,4096,8,6,24,0.473631641,11.64077737
2,4096,8,8,24,0.5901442729999999,11.96216151
3,4096,8,1,28,0.37486917599999997,14.953745960000001
3,4096,8,2,28,0.7102605070000001,14.626887870000001
3,4096,8,4,28,1.416539689,15.51460573
3,4096,8,6,28,2.116896554,16.84032023
3,4096,8,8,28,2.7981200420000003,17.26109726
4,6144,8,1,30,1.281598064,21.52452781
4,6144,8,2,30,2.116417857,20.84765565
4,6144,8,4,30,4.324791619,23.530015539999997
4,6144,8,6,30,6.023303100000001,25.18932421
5,6144,8,1,32,1.66182005,20.11526348
5,6144,8,2,32,3.0954243860000004,21.939477179999997
5,6144,8,4,32,6.017218467,24.58507645
5,6144,8,6,32,9.047685262,27.886661309999997
